Profil,Victoires,V.Blancs,V.Noirs,Défaites,D.Blancs,D.Noirs,Nuls,N.Blancs,N.Noirs,% Victoire,Coups moy.,Temps/coup (ms),Nœuds moy.,Points
Agressif,12,6,6,1,0,1,3,2,1,"75,0%","111,8","98,8",10238,39
Intermédiaire,10,6,4,3,1,2,3,1,2,"62,5%","120,3","80,5",9314,33
Expert,10,5,5,3,1,2,3,2,1,"62,5%","114,6","91,7",9509,33
Monte-Carlo,10,4,6,6,4,2,0,0,0,"62,5%","112,3","116,2",0,30
Équilibre,7,3,4,6,4,2,3,1,2,"43,8%","108,1","80,4",8021,24
Poids Random,6,3,3,6,3,3,4,2,2,"37,5%","117,7","86,1",9031,22
Défensif,4,2,2,11,5,6,1,1,0,"25,0%","108,5","65,8",7151,13
Perdant,3,0,3,12,8,4,1,0,1,"18,8%","96,7","82,3",7581,10
Joue Random,1,0,1,15,8,7,0,0,0,"6,3%","87,9","10,5",1140,3
