Profil,Victoires,V.Blancs,V.Noirs,Défaites,D.Blancs,D.Noirs,Nuls,N.Blancs,N.Noirs,% Victoire,Coups moy.,Temps/coup (ms),Nœuds moy.,Points
Expert,584,282,302,66,31,35,150,87,63,"73,0%","113,4","5,8",588,1902
Agressif,556,276,280,79,38,41,165,86,79,"69,5%","115,4","7,1",730,1833
Intermédiaire,484,238,246,124,67,57,192,95,97,"60,5%","119,6","5,7",615,1644
Monte-Carlo,410,202,208,270,145,125,120,53,67,"51,3%","114,3","10,5",0,1350
Équilibre,384,174,210,255,146,109,161,80,81,"48,0%","119,0","5,7",600,1313
Poids Random,359,172,187,264,137,127,177,91,86,"44,9%","117,1","6,1",629,1254
Défensif,104,46,58,603,311,292,93,43,50,"13,0%","101,4","5,4",535,405
Joue Random,101,44,57,664,339,325,35,17,18,"12,6%","89,6","1,7",161,338
Perdant,34,14,20,691,354,337,75,32,43,"4,3%","90,8","6,2",585,177
