Profil,Victoires,V.Blancs,V.Noirs,Défaites,D.Blancs,D.Noirs,Nuls,N.Blancs,N.Noirs,% Victoire,Coups moy.,Temps/coup (ms),Nœuds moy.,Points
Défensif,11,6,5,4,2,2,1,0,1,"68,8%","74,6","0,3",4,34
Expert,10,6,4,6,2,4,0,0,0,"62,5%","73,3","0,3",4,30
Monte-Carlo,9,4,5,0,0,0,1,1,0,"90,0%","63,3","55,7",0,28
Intermédiaire,8,5,3,8,3,5,0,0,0,"50,0%","73,4","0,4",4,24
Positionnel,6,4,2,4,1,3,0,0,0,"60,0%","79,1","0,3",4,18
Débutant,5,5,0,11,3,8,0,0,0,"31,3%","68,4","0,4",4,15
Équilibré,5,2,3,5,3,2,0,0,0,"50,0%","75,6","0,3",4,15
Agressif,3,2,1,13,6,7,0,0,0,"18,8%","66,8","0,3",4,9
Tactique,2,2,0,8,3,5,0,0,0,"20,0%","72,3","0,3",4,6
