Profil,Victoires,V.Blancs,V.Noirs,Défaites,D.Blancs,D.Noirs,Nuls,N.Blancs,N.Noirs,% Victoire,Coups moy.,Temps/coup (ms),Nœuds moy.,Points
Monte-Carlo,643,326,317,46,21,25,111,53,58,"80,4%","109,6","12,4",0,2040
Expert,513,246,267,135,79,56,152,75,77,"64,1%","107,6","0,6",24,1691
Agressif,463,223,240,140,69,71,197,108,89,"57,9%","115,7","0,6",27,1586
Intermédiaire,408,185,223,196,110,86,196,105,91,"51,0%","118,8","0,6",25,1420
Équilibre,262,129,133,298,160,138,240,111,129,"32,8%","124,3","0,6",25,1026
Poids Random,234,120,114,354,186,168,212,94,118,"29,3%","116,4","0,6",26,914
Joue Random,246,117,129,417,201,216,137,82,55,"30,8%","105,5","0,4",17,875
Défensif,72,33,39,562,282,280,166,85,81,"9,0%","103,7","0,6",26,382
Perdant,0,0,0,693,354,339,107,46,61,"0,0%","90,5","0,7",28,107
