Profil,Victoires,V.Blancs,V.Noirs,Défaites,D.Blancs,D.Noirs,Nuls,N.Blancs,N.Noirs,% Victoire,Coups moy.,Temps/coup (ms),Nœuds moy.,Points
Monte-Carlo,797,398,399,2,1,1,1,1,0,"99,6%","70,3","15,8",0,2392
Joue Random,694,345,349,105,55,50,1,0,1,"86,8%","75,0","0,1",4,2083
Expert,386,225,161,414,175,239,0,0,0,"48,3%","74,8","0,1",4,1158
Équilibre,347,198,149,453,202,251,0,0,0,"43,4%","75,6","0,1",4,1041
Intermédiaire,343,191,152,457,209,248,0,0,0,"42,9%","75,3","0,1",4,1029
Défensif,336,185,151,464,215,249,0,0,0,"42,0%","76,3","0,1",4,1008
Poids Random,321,170,151,479,230,249,0,0,0,"40,1%","76,8","0,1",4,963
Perdant,313,178,135,487,222,265,0,0,0,"39,1%","74,4","0,1",4,939
Agressif,62,49,13,738,351,387,0,0,0,"7,8%","71,0","0,1",4,186
